Field variables file

Angle of attack:         0                   
Mach:                    0.7                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
       0.277778              3      -0.133333        1.09796     0.00017624     -0.0234982       0.776633     -0.0239801
       0.322222              3      -0.133333        1.09551    0.000113654    -0.00498097       0.774496     -0.0487403
       0.366667              3      -0.133333        1.09119    5.00735e-05      0.0109534       0.771115      -0.064815
       0.411111              3      -0.133333        1.08564   -1.25872e-05      0.0245931       0.766908     -0.0754872
       0.455556              3      -0.133333        1.07925   -7.28928e-05      0.0362278       0.762125     -0.0828137
            0.5              3      -0.133333        1.07223    -0.00012981      0.0461189        0.75691     -0.0881676
       0.544444              3      -0.133333        1.06473   -0.000182705      0.0544874       0.751333     -0.0925189
       0.588889              3      -0.133333        1.05678   -0.000231199      0.0615065       0.745417     -0.0965611
       0.633333              3      -0.133333        1.04839   -0.000275108      0.0672978       0.739147      -0.100852
       0.677778              3      -0.133333        1.03951   -0.000314378      0.0719226       0.732479      -0.105842
       0.722222              3      -0.133333        1.03006   -0.000349057      0.0753659       0.725343      -0.111864
       0.766667              3      -0.133333        1.01995   -0.000379247       0.077509       0.717657      -0.119022
       0.811111              3      -0.133333        1.00912   -0.000405154      0.0780862       0.709349      -0.126838
       0.855556              3      -0.133333       0.997618   -0.000427119      0.0766281       0.700428      -0.133381
            0.9              3      -0.133333       0.985811   -0.000445751       0.072436       0.691152      -0.133407
       0.944444              3      -0.133333       0.974811   -0.000462118      0.0647938       0.682352      -0.116615
       0.988889              3      -0.133333       0.966664   -0.000477789      0.0538447       0.675643     -0.0747677
        1.03333              3      -0.133333       0.963143   -0.000494242      0.0416471       0.672507     -0.0221628
        1.07778              3      -0.133333       0.963754   -0.000511902      0.0309826       0.672666      0.0143611
        1.12222              3      -0.133333       0.966498   -0.000530175      0.0230131       0.674584      0.0296246
        1.16667              3      -0.133333       0.969828   -0.000548274      0.0174069        0.67703      0.0326663
        1.21111              3      -0.133333       0.973042   -0.000565628      0.0134781       0.679432      0.0307995
        1.25556              3      -0.133333       0.975912   -0.000581905      0.0106728       0.681596      0.0274636
            1.3              3      -0.133333       0.978406   -0.000596924     0.00861989       0.683484      0.0239909
        1.34444              3      -0.133333       0.980555   -0.000610597     0.00708052       0.685117      0.0208303
        1.38889              3      -0.133333       0.982406   -0.000622889     0.00590052       0.686526      0.0180919
        1.43333              3      -0.133333       0.984007   -0.000633799     0.00497827       0.687746      0.0157639
        1.47778              3      -0.133333       0.985398   -0.000643347     0.00424517       0.688808      0.0137969
      -0.477778              3     -0.0666667        0.97699     0.00059962    -0.00411987       0.682381     -0.0279281
      -0.433333              3     -0.0666667       0.974052    0.000584087    -0.00502687       0.680141     -0.0335021
      -0.388889              3     -0.0666667       0.970474    0.000567146    -0.00623612       0.677418     -0.0407014
      -0.344444              3     -0.0666667       0.966049    0.000548876    -0.00789162       0.674058     -0.0501478
           -0.3              3     -0.0666667       0.960478    0.000529438     -0.0102318       0.669838     -0.0627328
      -0.255556              3     -0.0666667       0.953321     0.00050912     -0.0136726       0.664438     -0.0796841
      -0.211111              3     -0.0666667       0.943921    0.000488568     -0.0189869       0.657388      -0.102417
      -0.166667              3     -0.0666667       0.931324    0.000469069     -0.0277244       0.648042      -0.131146
      -0.122222              3     -0.0666667       0.914383    0.000453694     -0.0432707       0.635757      -0.156973
     -0.0777778              3     -0.0666667       0.893409    0.000450829      -0.073554       0.621549      -0.119072
     -0.0333333              3     -0.0666667       0.881481    0.000486623      -0.134408       0.617994       0.272516
      0.0111111              3     -0.0666667       0.931987    0.000623242      -0.213247       0.666451        1.10371
      0.0555556              3     -0.0666667        1.02809     0.00086891      -0.214274       0.738863        0.73842
            0.1              3     -0.0666667        1.07902     0.00112526      -0.164062       0.771254       0.229552
       0.144444              3     -0.0666667        1.09636      0.0013125      -0.115152       0.779946      0.0460589
       0.188889              3     -0.0666667        1.10056     0.00133102     -0.0755705       0.780551      -0.043058
       0.233333              3     -0.0666667        1.09928     0.00114676     -0.0441569       0.778179     -0.0466758
       0.277778              3     -0.0666667        1.09501     0.00086979     -0.0192047       0.774224     -0.0520092
       0.322222              3     -0.0666667        1.08992    0.000492001     0.00253337       0.770074     -0.0932381
       0.366667              3     -0.0666667        1.08417    0.000232765      0.0191362       0.765661     -0.0642492
       0.411111              3     -0.0666667        1.07808   -8.33057e-05       0.034176       0.761155     -0.0701993
       0.455556              3     -0.0666667        1.07198   -0.000295319       0.046224       0.756715     -0.0757461
            0.5              3     -0.0666667        1.06557   -0.000471549       0.056653        0.75208     -0.0838254
       0.544444              3     -0.0666667        1.05919   -0.000592883      0.0656112       0.747494      -0.070206
       0.588889              3     -0.0666667        1.05232   -0.000662076      0.0731755       0.742514      -0.091024
       0.633333              3     -0.0666667        1.04511   -0.000704175      0.0797245       0.737277     -0.0856991
       0.677778              3     -0.0666667        1.03721    -0.00072003      0.0852635       0.731483     -0.0958505
       0.722222              3     -0.0666667         1.0285   -0.000719878      0.0899068        0.72504      -0.105153
       0.766667              3     -0.0666667        1.01863   -0.000706643      0.0935912        0.71768      -0.118292
       0.811111              3     -0.0666667        1.00716    -0.00068317      0.0960894       0.709038      -0.137225
       0.855556              3     -0.0666667       0.993496   -0.000650924      0.0968245       0.698619       -0.16382
            0.9              3     -0.0666667       0.976933   -0.000611314      0.0944386       0.685809      -0.198484
       0.944444              3     -0.0666667       0.957513   -0.000567519      0.0857056       0.670453      -0.223051
       0.988889              3     -0.0666667       0.940642   -0.000529738      0.0654361       0.656483      -0.138504
        1.03333              3     -0.0666667       0.939085   -0.000514896      0.0396508        0.65422      0.0412413
        1.07778              3     -0.0666667       0.947806   -0.000521024      0.0233303       0.660402      0.0877797
