Field variables file

Angle of attack:         0                   
Mach:                    0.8                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
       0.233333              3           -0.2        1.24985     0.00112905     -0.0317573        1.03833      -0.791956
       0.277778              3           -0.2        1.22125     0.00102794    -0.00598076        1.00928      -0.594142
       0.322222              3           -0.2        1.19574    0.000926063      0.0135404       0.984116      -0.550127
       0.366667              3           -0.2        1.17183    0.000831863      0.0290081        0.96104      -0.444473
       0.411111              3           -0.2        1.15047    0.000741967       0.041711       0.940781       -0.39385
       0.455556              3           -0.2          1.131     0.00065835      0.0520183       0.922549      -0.332722
            0.5              3           -0.2        1.11323    0.000578646      0.0605705       0.906102      -0.302171
       0.544444              3           -0.2        1.09641    0.000502726      0.0675876       0.890649      -0.277017
       0.588889              3           -0.2        1.08016     0.00042959      0.0732991       0.875816       -0.26483
       0.633333              3           -0.2        1.06405    0.000358996      0.0777466       0.861163      -0.257376
       0.677778              3           -0.2         1.0479     0.00029079       0.080913       0.846499      -0.253317
       0.722222              3           -0.2        1.03159    0.000225039      0.0827161       0.831713      -0.250061
       0.766667              3           -0.2        1.01516    0.000161894      0.0830302         0.8168      -0.246361
       0.811111              3           -0.2       0.998697     0.00010159      0.0816708       0.801833      -0.240908
       0.855556              3           -0.2        0.98246    4.46031e-05      0.0783613       0.787023      -0.230781
            0.9              3           -0.2       0.967088   -7.95564e-06      0.0727477       0.772921      -0.209179
       0.944444              3           -0.2         0.9539   -5.40281e-05      0.0646118       0.760698      -0.166179
       0.988889              3           -0.2       0.944798   -9.12755e-05      0.0543739        0.75208     -0.0984059
        1.03333              3           -0.2       0.941137   -0.000119169      0.0434474       0.748349     -0.0230653
        1.07778              3           -0.2       0.942419   -0.000139915      0.0335813       0.749124      0.0330051
        1.12222              3           -0.2       0.946722   -0.000156449       0.025715       0.752709       0.061714
        1.16667              3           -0.2       0.952218   -0.000170804      0.0198452        0.75745      0.0709058
        1.21111              3           -0.2        0.95782   -0.000183988       0.015561       0.762351      0.0700251
